image_name,angry,disgust,fear,happy,sad,surprise,neutral,sum,positive,negative,outcome
frame_E_7674.jpg,0.15,0.0,0.04,0.49,0.07,0.01,0.25,1.01,0.5,0.26,PS
frame_E_7722.jpg,0.2,0.0,0.33,0.0,0.12,0.31,0.04,1.0,0.31,0.65,PS
frame_E_7737.jpg,0.59,0.0,0.11,0.0,0.12,0.04,0.14,1.0,0.04,0.82,NG
frame_E_7752.jpg,0.9,0.0,0.04,0.0,0.05,0.0,0.0,0.9900000000000001,0.0,0.9900000000000001,NG
frame_E_7762.jpg,0.2,0.0,0.1,0.11,0.17,0.03,0.4,1.0100000000000002,0.14,0.4700000000000001,
frame_E_7772.jpg,0.08,0.0,0.04,0.01,0.3,0.0,0.57,1.0,0.01,0.42,NT
frame_E_7789.jpg,0.11,0.0,0.02,0.01,0.24,0.0,0.62,1.0,0.01,0.37,NT
frame_E_7813.jpg,0.08,0.0,0.73,0.0,0.18,0.0,0.0,0.99,0.0,0.99,NG
frame_E_7816.jpg,0.18,0.0,0.06,0.68,0.05,0.0,0.03,1.0,0.68,0.29,PS
frame_E_7831.jpg,0.09,0.0,0.09,0.0,0.8,0.0,0.01,0.99,0.0,0.98,NG
frame_E_7832.jpg,0.08,0.0,0.05,0.05,0.48,0.0,0.33,0.99,0.05,0.61,NG
frame_E_7843.jpg,0.05,0.0,0.09,0.65,0.06,0.03,0.11,0.9900000000000001,0.68,0.2,PS
frame_E_7856.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
frame_E_7863.jpg,0.38,0.0,0.26,0.0,0.34,0.0,0.01,0.99,0.0,0.98,NG
frame_E_7872.jpg,0.47,0.0,0.03,0.07,0.11,0.03,0.29,1.0,0.1,0.61,NG
frame_E_7883.jpg,0.52,0.03,0.18,0.0,0.27,0.0,0.0,1.0,0.0,1.0,NG
frame_E_7914.jpg,0.03,0.0,0.01,0.0,0.01,0.0,0.95,1.0,0.0,0.05,NT
